epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43553,2.72832,4.4179,2.40533,0.0015,0.28125,0.00098,0.00023,2.54173,4.66935,2.6612,0.00016,0.00016,0.00016
2,7.39358,2.56995,4.28131,2.19795,0.00383,0.71875,0.0048,0.00177,2.28442,4.40193,2.30958,0.000336634,0.000336634,0.000336634
3,9.73815,2.40225,4.14289,2.16114,0.00433,0.8125,0.0057,0.00175,2.30511,4.19361,2.35078,0.000509704,0.000509704,0.000509704
4,11.8483,2.34156,3.74448,2.0972,0.00467,0.875,0.00617,0.00206,2.47303,4.28518,2.53176,0.00067921,0.00067921,0.00067921
5,14.7481,2.3386,3.64628,1.98785,0.00417,0.78125,0.00492,0.00174,2.46608,4.39596,2.42597,0.000845152,0.000845152,0.000845152
6,17.0231,2.19871,3.4469,1.84535,0.0045,0.84375,0.015,0.00449,2.37673,4.16892,2.22224,0.00100753,0.00100753,0.00100753
7,19.2325,2.16443,3.44043,1.74167,0.00383,0.71875,0.00841,0.00263,2.22886,4.30676,2.23291,0.00116634,0.00116634,0.00116634
8,21.5573,2.33026,3.94404,1.93006,0.00417,0.78125,0.00599,0.00173,2.39264,4.51011,2.13985,0.00132159,0.00132159,0.00132159
9,23.7073,2.26948,3.43421,1.84623,0.00467,0.875,0.0679,0.0148,2.33831,3.60009,2.02938,0.00147328,0.00147328,0.00147328
10,25.959,2.2618,3.22729,1.83278,0.12848,0.13379,0.05952,0.01655,2.34064,3.31152,2.11369,0.0016214,0.0016214,0.0016214
11,28.2337,2.14528,3.13784,1.75326,0.03141,0.34375,0.01875,0.00433,2.3827,5.60831,2.3037,0.00176596,0.00176596,0.00176596
12,30.4518,2.0681,3.04488,1.77384,0.20606,0.125,0.0711,0.02855,2.12112,3.71308,2.07489,0.0017822,0.0017822,0.0017822
13,32.6115,2.24382,3.12346,1.91915,0.34109,0.125,0.12885,0.04806,2.28589,3.25647,2.09255,0.0017624,0.0017624,0.0017624
14,34.7135,2.23745,3.06764,1.92339,0.08831,0.15625,0.0431,0.01388,2.27288,3.73052,2.10228,0.0017426,0.0017426,0.0017426
15,37.0551,2.14081,3.15219,1.87839,0.1264,0.15625,0.05828,0.0168,2.34593,4.03373,2.15261,0.0017228,0.0017228,0.0017228
16,39.109,2.18536,3.17981,1.87189,0.14755,0.15625,0.07702,0.02276,2.30474,4.11964,2.17064,0.001703,0.001703,0.001703
17,41.0414,2.06408,2.93221,1.78244,0.29277,0.1875,0.12558,0.02779,2.29718,3.67745,2.12143,0.0016832,0.0016832,0.0016832
18,43.0112,2.10156,2.77548,1.78892,0.2125,0.21875,0.08015,0.02295,2.33129,4.34778,2.05908,0.0016634,0.0016634,0.0016634
19,45.0565,2.14583,2.76935,1.74971,0.09808,0.25,0.04148,0.01118,2.31434,3.52693,2.00123,0.0016436,0.0016436,0.0016436
20,47.1116,2.05607,2.99392,1.68983,0.13781,0.25,0.06267,0.019,2.19515,3.08197,1.88891,0.0016238,0.0016238,0.0016238
21,49.0213,2.06045,2.96945,1.74551,0.27263,0.18741,0.12223,0.04042,2.1118,2.6649,1.87925,0.001604,0.001604,0.001604
22,51.1147,2.05565,2.64381,1.7348,0.27979,0.1875,0.19893,0.06849,2.12213,3.16185,1.91757,0.0015842,0.0015842,0.0015842
23,53.265,1.99191,2.70414,1.71617,0.21735,0.34375,0.22118,0.0789,2.20139,4.40537,2.00762,0.0015644,0.0015644,0.0015644
24,55.2648,1.88789,2.62139,1.7114,0.25395,0.375,0.23042,0.08222,2.16418,2.7354,1.93515,0.0015446,0.0015446,0.0015446
25,57.3046,1.94559,2.66958,1.78012,0.22819,0.34375,0.18252,0.06056,2.3392,2.53474,2.06169,0.0015248,0.0015248,0.0015248
26,59.1807,2.06429,2.66999,1.79623,0.28111,0.25,0.11962,0.04443,2.28783,2.76571,1.97491,0.001505,0.001505,0.001505
27,61.2397,2.0508,2.69822,1.8507,0.24103,0.28125,0.19276,0.06805,2.32497,2.66185,1.98992,0.0014852,0.0014852,0.0014852
28,63.3537,1.99569,2.65493,1.80525,0.23533,0.46875,0.21545,0.07307,2.40042,2.55708,2.12754,0.0014654,0.0014654,0.0014654
29,65.5529,1.91751,2.38337,1.70599,0.36543,0.54002,0.31974,0.09873,2.34938,3.02783,2.17515,0.0014456,0.0014456,0.0014456
30,67.9155,1.9296,2.42966,1.74715,0.43804,0.51174,0.38536,0.12426,2.21714,5.43753,2.09472,0.0014258,0.0014258,0.0014258
31,69.9254,1.8388,2.31199,1.70424,0.31649,0.52104,0.3175,0.10416,2.20753,5.12104,2.07232,0.001406,0.001406,0.001406
32,71.7866,1.95099,2.36912,1.69782,0.24266,0.4375,0.26177,0.0809,2.25163,3.06676,2.16426,0.0013862,0.0013862,0.0013862
33,73.6618,1.87065,2.32234,1.73168,0.2468,0.40625,0.18488,0.04991,2.34372,2.78358,2.22801,0.0013664,0.0013664,0.0013664
34,75.6713,1.90101,2.36961,1.71209,0.29771,0.28125,0.16418,0.03966,2.40938,2.79075,2.22986,0.0013466,0.0013466,0.0013466
35,77.6389,1.89384,2.05395,1.64064,0.55003,0.21875,0.26235,0.0858,2.37129,2.75571,2.14144,0.0013268,0.0013268,0.0013268
36,79.5923,1.86642,2.307,1.63271,0.22335,0.25,0.22778,0.07371,2.33442,2.8601,2.10265,0.001307,0.001307,0.001307
37,81.5973,1.84148,2.26262,1.6354,0.28208,0.3125,0.24196,0.07444,2.31592,2.76181,2.11117,0.0012872,0.0012872,0.0012872
38,83.569,1.88711,2.19088,1.71299,0.3739,0.46875,0.29863,0.10961,2.26085,2.50879,2.05973,0.0012674,0.0012674,0.0012674
39,85.4901,1.83625,2.05216,1.6125,0.44393,0.375,0.38824,0.14837,2.19704,2.37776,2.0692,0.0012476,0.0012476,0.0012476
40,87.483,1.86686,2.22416,1.72165,0.41694,0.49178,0.40386,0.16626,2.26117,2.34679,2.14633,0.0012278,0.0012278,0.0012278
41,89.4199,1.84119,1.98995,1.64888,0.638,0.40625,0.45209,0.1764,2.2581,2.23783,2.15743,0.001208,0.001208,0.001208
42,91.4841,1.75671,2.0693,1.65494,0.59771,0.40625,0.4386,0.15432,2.14869,2.20764,2.02995,0.0011882,0.0011882,0.0011882
43,93.7779,1.83077,1.90602,1.66227,0.54647,0.5,0.45279,0.136,2.13207,2.34138,1.91824,0.0011684,0.0011684,0.0011684
44,95.9549,1.79584,2.10459,1.66709,0.51736,0.40625,0.39865,0.11337,2.25806,2.37014,1.9762,0.0011486,0.0011486,0.0011486
45,98.6455,1.67787,1.81511,1.55441,0.58452,0.40625,0.38485,0.09321,2.48725,2.34263,2.14251,0.0011288,0.0011288,0.0011288
46,100.505,1.73152,1.73763,1.55571,0.70168,0.34375,0.41047,0.09675,2.50599,2.25336,2.17268,0.001109,0.001109,0.001109
47,102.309,1.78377,1.93239,1.59951,0.59539,0.4375,0.41807,0.11871,2.43342,2.18588,2.16042,0.0010892,0.0010892,0.0010892
48,104.208,1.81516,1.8875,1.68819,0.4621,0.42975,0.42615,0.12342,2.43864,2.30022,2.19479,0.0010694,0.0010694,0.0010694
49,106.114,1.65083,1.76632,1.58097,0.42988,0.47132,0.4393,0.13337,2.54143,2.33333,2.36192,0.0010496,0.0010496,0.0010496
50,107.987,1.63476,1.7475,1.52617,0.68263,0.40344,0.44191,0.12708,2.53159,2.40302,2.38703,0.0010298,0.0010298,0.0010298
51,109.933,1.77429,1.80776,1.65288,0.55789,0.34375,0.41491,0.12151,2.54771,2.43404,2.38553,0.00101,0.00101,0.00101
52,111.983,1.69149,1.63519,1.6348,0.54883,0.34375,0.42504,0.12034,2.48089,2.34352,2.31468,0.0009902,0.0009902,0.0009902
53,113.845,1.6565,1.65527,1.57196,0.36485,0.46875,0.41805,0.12717,2.48171,2.29327,2.25198,0.0009704,0.0009704,0.0009704
54,115.837,1.61784,1.63883,1.50055,0.38213,0.54131,0.42123,0.12805,2.41099,2.3554,2.20369,0.0009506,0.0009506,0.0009506
55,117.751,1.68485,1.66311,1.53926,0.41158,0.59375,0.44004,0.13349,2.40618,2.30506,2.18403,0.0009308,0.0009308,0.0009308
56,119.709,1.71942,1.64929,1.5386,0.47029,0.55504,0.46263,0.13636,2.43679,2.20397,2.22118,0.000911,0.000911,0.000911
57,121.651,1.58913,1.47532,1.47392,0.46192,0.53125,0.42579,0.14891,2.44124,2.09853,2.17898,0.0008912,0.0008912,0.0008912
58,123.478,1.6742,1.56939,1.45159,0.46824,0.5625,0.40014,0.16068,2.47593,2.06956,2.23315,0.0008714,0.0008714,0.0008714
59,125.439,1.60611,1.65321,1.50455,0.48755,0.53125,0.40576,0.13876,2.52217,2.08362,2.30944,0.0008516,0.0008516,0.0008516
60,127.676,1.54477,1.51976,1.4556,0.53032,0.625,0.48477,0.16212,2.56748,2.01672,2.39713,0.0008318,0.0008318,0.0008318
61,129.671,1.58299,1.56453,1.48892,0.51898,0.65625,0.46655,0.16473,2.43778,2.11991,2.31856,0.000812,0.000812,0.000812
62,131.402,1.72496,1.78511,1.63712,0.55413,0.625,0.4735,0.18167,2.41941,2.11089,2.29221,0.0007922,0.0007922,0.0007922
63,133.159,1.65599,1.58701,1.50761,0.53879,0.5625,0.4681,0.17625,2.49971,2.10554,2.32787,0.0007724,0.0007724,0.0007724
64,134.865,1.52879,1.46304,1.48387,0.59406,0.4375,0.40612,0.1512,2.62376,2.10118,2.45956,0.0007526,0.0007526,0.0007526
65,136.671,1.47996,1.39521,1.40535,0.54857,0.40625,0.39444,0.13122,2.70979,2.17663,2.54209,0.0007328,0.0007328,0.0007328
66,138.414,1.47369,1.52514,1.47184,0.54235,0.46875,0.42939,0.12472,2.79861,2.09467,2.65508,0.000713,0.000713,0.000713
67,140.239,1.507,1.48776,1.3953,0.43468,0.55282,0.46356,0.1504,2.68795,2.13059,2.52961,0.0006932,0.0006932,0.0006932
68,142.105,1.48981,1.44281,1.40987,0.44773,0.59375,0.46706,0.15055,2.65375,2.16954,2.49213,0.0006734,0.0006734,0.0006734
69,143.818,1.55614,1.5516,1.50854,0.50907,0.46875,0.46792,0.16202,2.62772,2.14759,2.48815,0.0006536,0.0006536,0.0006536
70,145.531,1.45826,1.34136,1.41192,0.48923,0.50903,0.46111,0.14891,2.61487,2.02758,2.47063,0.0006338,0.0006338,0.0006338
71,147.297,1.48449,1.40153,1.44833,0.58041,0.46875,0.46001,0.15378,2.64641,1.90146,2.49705,0.000614,0.000614,0.000614
72,149.038,1.50593,1.43751,1.42884,0.64412,0.46875,0.47791,0.16229,2.65336,1.88739,2.48746,0.0005942,0.0005942,0.0005942
73,150.848,1.40057,1.37448,1.40669,0.6478,0.4601,0.46598,0.15551,2.70704,1.89049,2.50272,0.0005744,0.0005744,0.0005744
74,152.57,1.54951,1.38078,1.43629,0.62992,0.5,0.46672,0.1527,2.67508,2.00723,2.40568,0.0005546,0.0005546,0.0005546
75,154.65,1.52416,1.5114,1.40095,0.63046,0.5,0.45162,0.1315,2.71576,2.02596,2.38362,0.0005348,0.0005348,0.0005348
76,156.724,1.4413,1.46809,1.39612,0.57964,0.46875,0.42953,0.14604,2.72175,1.85292,2.43587,0.000515,0.000515,0.000515
77,158.732,1.45603,1.29784,1.39627,0.58515,0.48515,0.45399,0.15713,2.75154,1.76589,2.52226,0.0004952,0.0004952,0.0004952
78,160.566,1.4319,1.39891,1.4201,0.58328,0.46875,0.48455,0.17354,2.68368,1.82066,2.53066,0.0004754,0.0004754,0.0004754
79,162.316,1.37128,1.20319,1.3369,0.59154,0.46875,0.49341,0.18166,2.59332,1.82388,2.50569,0.0004556,0.0004556,0.0004556
