epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7068,1.73252,1.47465,1.38902,0.84501,0.70912,0.79077,0.41889,1.55529,1.30486,1.32377,0.000664141,0.000664141,0.000664141
2,95.9692,1.60656,0.95441,1.28311,0.91751,0.79382,0.87175,0.47962,1.50828,1.05706,1.27943,0.00131763,0.00131763,0.00131763
3,132.89,1.58041,0.87866,1.2674,0.88754,0.92657,0.93585,0.51055,1.4505,0.77174,1.24261,0.00195792,0.00195792,0.00195792
4,161.868,1.55467,0.81831,1.25543,0.93916,0.92585,0.96183,0.52836,1.43358,0.68119,1.23028,0.0019406,0.0019406,0.0019406
5,187.729,1.54467,0.77509,1.24544,0.92663,0.93997,0.95216,0.53729,1.42031,0.64408,1.20219,0.0019208,0.0019208,0.0019208
6,212.903,1.52659,0.75171,1.23985,0.95405,0.93855,0.97234,0.55793,1.38933,0.60593,1.18863,0.001901,0.001901,0.001901
7,238.474,1.52914,0.7363,1.23148,0.94932,0.94622,0.97135,0.55695,1.38216,0.61375,1.17565,0.0018812,0.0018812,0.0018812
8,264.366,1.49876,0.7109,1.2269,0.95195,0.93407,0.96938,0.53896,1.47487,0.60598,1.22276,0.0018614,0.0018614,0.0018614
9,291.098,1.505,0.70353,1.22459,0.94768,0.93103,0.96395,0.56159,1.39368,0.60178,1.19642,0.0018416,0.0018416,0.0018416
10,317.117,1.49652,0.6833,1.21302,0.95448,0.95641,0.97538,0.56967,1.38215,0.55453,1.17569,0.0018218,0.0018218,0.0018218
11,342.394,1.48748,0.68662,1.21007,0.96065,0.94639,0.97693,0.58544,1.35904,0.58117,1.16813,0.001802,0.001802,0.001802
12,368.135,1.47761,0.67427,1.20394,0.95985,0.94405,0.97498,0.58001,1.35639,0.5649,1.16748,0.0017822,0.0017822,0.0017822
13,393.509,1.48103,0.66406,1.20898,0.95275,0.92582,0.9632,0.56461,1.41343,0.59491,1.19003,0.0017624,0.0017624,0.0017624
14,420.508,1.46608,0.66324,1.20745,0.96237,0.9573,0.97911,0.58961,1.32608,0.54625,1.15908,0.0017426,0.0017426,0.0017426
15,446.053,1.45147,0.64399,1.19081,0.9405,0.94837,0.95938,0.5653,1.37633,0.57157,1.17947,0.0017228,0.0017228,0.0017228
16,472.569,1.44911,0.6403,1.19443,0.95085,0.95444,0.97288,0.58285,1.34008,0.55028,1.16204,0.001703,0.001703,0.001703
17,498.387,1.44711,0.63261,1.19217,0.95816,0.95737,0.97732,0.5898,1.32061,0.5415,1.14994,0.0016832,0.0016832,0.0016832
18,524.459,1.44935,0.64202,1.20038,0.95512,0.95822,0.97834,0.5929,1.30457,0.52151,1.14811,0.0016634,0.0016634,0.0016634
19,549.965,1.43089,0.62988,1.18282,0.96603,0.95001,0.97737,0.58291,1.31394,0.52308,1.15665,0.0016436,0.0016436,0.0016436
20,574.82,1.44233,0.63085,1.19129,0.96191,0.9565,0.97808,0.59926,1.28195,0.50676,1.14046,0.0016238,0.0016238,0.0016238
21,601.177,1.41822,0.6186,1.17733,0.96345,0.96064,0.97864,0.58822,1.30005,0.51029,1.14668,0.001604,0.001604,0.001604
22,627.091,1.42213,0.61458,1.18491,0.96895,0.96468,0.98184,0.60845,1.26595,0.48853,1.13101,0.0015842,0.0015842,0.0015842
23,652.327,1.42052,0.61132,1.17737,0.96633,0.96534,0.98086,0.62081,1.26064,0.48046,1.12324,0.0015644,0.0015644,0.0015644
24,677.927,1.42619,0.60984,1.17878,0.95497,0.9623,0.96728,0.5925,1.3008,0.51483,1.14479,0.0015446,0.0015446,0.0015446
25,703.203,1.41811,0.60435,1.173,0.96909,0.96159,0.98097,0.59556,1.27119,0.50965,1.13283,0.0015248,0.0015248,0.0015248
26,728.218,1.4025,0.60129,1.17092,0.96674,0.96319,0.9791,0.6238,1.23692,0.48143,1.11133,0.001505,0.001505,0.001505
27,754.308,1.41767,0.59968,1.17519,0.96393,0.95909,0.97517,0.59369,1.31476,0.50336,1.1534,0.0014852,0.0014852,0.0014852
28,780.245,1.40267,0.59642,1.16749,0.95988,0.96596,0.97702,0.59713,1.24761,0.48959,1.12654,0.0014654,0.0014654,0.0014654
29,805.77,1.38624,0.58779,1.16507,0.95736,0.96087,0.97587,0.61372,1.25491,0.49496,1.11828,0.0014456,0.0014456,0.0014456
30,831.262,1.3803,0.58903,1.15875,0.96667,0.96123,0.97967,0.61335,1.236,0.48074,1.12384,0.0014258,0.0014258,0.0014258
31,856.936,1.38068,0.58287,1.15921,0.95785,0.96641,0.97092,0.61909,1.23395,0.49048,1.11503,0.001406,0.001406,0.001406
32,882.978,1.38534,0.58821,1.16715,0.96603,0.95194,0.98006,0.61357,1.27425,0.49146,1.12763,0.0013862,0.0013862,0.0013862
33,909.155,1.38103,0.58504,1.16505,0.96858,0.96337,0.98297,0.62593,1.2186,0.45896,1.10576,0.0013664,0.0013664,0.0013664
34,949.486,1.37334,0.57739,1.15967,0.96302,0.96318,0.97394,0.61905,1.22852,0.47774,1.11017,0.0013466,0.0013466,0.0013466
35,997.067,1.39312,0.58128,1.16899,0.96072,0.96355,0.9793,0.6358,1.20911,0.46441,1.10529,0.0013268,0.0013268,0.0013268
36,1037.99,1.37796,0.5759,1.15645,0.96353,0.96587,0.98027,0.63204,1.21134,0.46554,1.10372,0.001307,0.001307,0.001307
37,1078.62,1.3711,0.57271,1.1602,0.96817,0.96462,0.97838,0.63204,1.21105,0.46068,1.10573,0.0012872,0.0012872,0.0012872
38,1121.97,1.35125,0.5648,1.14667,0.9615,0.96034,0.97448,0.60808,1.26702,0.48307,1.12846,0.0012674,0.0012674,0.0012674
39,1164.8,1.35622,0.56695,1.15037,0.96624,0.96635,0.98017,0.63531,1.20566,0.46264,1.10584,0.0012476,0.0012476,0.0012476
40,1205.01,1.3591,0.57264,1.15385,0.96628,0.96779,0.98295,0.63618,1.20742,0.45742,1.10206,0.0012278,0.0012278,0.0012278
41,1244.79,1.36285,0.57191,1.15069,0.96935,0.96628,0.98134,0.62683,1.21433,0.45665,1.10908,0.001208,0.001208,0.001208
42,1285.25,1.35377,0.56024,1.15174,0.959,0.9648,0.9694,0.62433,1.21017,0.46331,1.10683,0.0011882,0.0011882,0.0011882
43,1328.56,1.33614,0.55259,1.14178,0.96883,0.96998,0.98214,0.64072,1.18952,0.44412,1.09425,0.0011684,0.0011684,0.0011684
44,1368.1,1.35456,0.56006,1.15112,0.96743,0.97016,0.9812,0.64323,1.18844,0.44098,1.08824,0.0011486,0.0011486,0.0011486
45,1408.8,1.34186,0.55099,1.14801,0.96567,0.96505,0.98267,0.63272,1.20999,0.46051,1.10105,0.0011288,0.0011288,0.0011288
46,1448.23,1.344,0.5515,1.14009,0.96866,0.96629,0.98381,0.63987,1.18609,0.4455,1.08953,0.001109,0.001109,0.001109
47,1487.93,1.33319,0.55295,1.1434,0.97082,0.96105,0.98208,0.64261,1.18273,0.44749,1.08899,0.0010892,0.0010892,0.0010892
48,1531.55,1.33838,0.55071,1.14036,0.9665,0.96212,0.98094,0.63947,1.19535,0.45492,1.09835,0.0010694,0.0010694,0.0010694
49,1571.7,1.34298,0.55113,1.14186,0.96549,0.97249,0.98142,0.64588,1.16464,0.43652,1.08352,0.0010496,0.0010496,0.0010496
50,1611.94,1.33477,0.54892,1.14225,0.97253,0.9673,0.98415,0.64597,1.17568,0.43832,1.0875,0.0010298,0.0010298,0.0010298
